,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,País Vasco
2020-03-04,1.0,,1.0,,,,,1.0,1.0,,,,,,2.0,,,1.0,
2020-03-05,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2020-03-06,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
2020-03-09,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,1.0,5.0
2020-03-10,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,77.0,0.0,0.0,2.0,5.0
2020-03-11,3.0,3.0,2.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,2.0,1.0,102.0,0.0,0.0,3.0,15.0
2020-03-12,4.0,3.0,2.0,2.0,2.0,3.0,0.0,9.0,4.0,0.0,0.0,1.0,2.0,1.0,135.0,0.0,1.0,3.0,18.0
2020-03-13,8.0,3.0,2.0,2.0,2.0,2.0,0.0,10.0,8.0,25.0,0.0,1.0,2.0,2.0,180.0,0.0,1.0,4.0,20.0
2020-03-14,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,,,,,,
2020-03-16,11.0,7.0,3.0,4.0,4.0,9.0,2.0,23.0,24.0,33.0,0.0,1.0,9.0,13.0,253.0,0.0,2.0,5.0,29.0
2020-03-17,13.0,9.0,5.0,4.0,27.0,13.0,2.0,23.0,24.0,33.0,0.0,2.0,9.0,13.0,340.0,0.0,3.0,10.0,33.0
2020-03-18,21.0,9.0,5.0,4.0,40.0,17.0,3.0,29.0,43.0,33.0,0.0,3.0,12.0,13.0,491.0,0.0,4.0,10.0,37.0
2020-03-19,25.0,14.0,6.0,7.0,52.0,23.0,4.0,37.0,54.0,33.0,0.0,3.0,15.0,15.0,590.0,0.0,6.0,11.0,44.0
2020-03-20,38.0,28.0,7.0,10.0,71.0,25.0,7.0,37.0,69.0,33.0,0.0,4.0,19.0,15.0,678.0,1.0,11.0,19.0,53.0
2020-03-21,53.0,33.0,12.0,14.0,84.0,29.0,9.0,65.0,85.0,298.0,0.0,6.0,29.0,17.0,767.0,1.0,14.0,25.0,71.0
2020-03-22,55.0,45.0,15.0,14.0,113.0,32.0,9.0,76.0,106.0,298.0,0.0,8.0,35.0,17.0,834.0,1.0,16.0,30.0,81.0
2020-03-23,77.0,52.0,22.0,27.0,138.0,32.0,14.0,142.0,120.0,551.0,0.0,13.0,47.0,22.0,942.0,1.0,23.0,40.0,92.0
